time_s,z_m,z_cm,T_axis_2d_C,C_axis_2d,T_side_2d_C,C_side_2d,T_end_axis_surface_C,C_end_axis_surface
0.0000,0.0025,0.2451,28.0000,2.5500,28.0000,2.5500,28.0000,2.5500
0.0000,0.0074,0.7353,28.0000,2.5500,28.0000,2.5500,28.0000,2.5500
0.0000,0.0123,1.2255,28.0000,2.5500,28.0000,2.5500,28.0000,2.5500
0.0000,0.0172,1.7157,28.0000,2.5500,28.0000,2.5500,28.0000,2.5500
0.0000,0.0221,2.2059,28.0000,2.5500,28.0000,2.5500,28.0000,2.5500
0.0000,0.0270,2.6961,28.0000,2.5500,28.0000,2.5500,28.0000,2.5500
0.0000,0.0319,3.1863,28.0000,2.5500,28.0000,2.5500,28.0000,2.5500
0.0000,0.0368,3.6765,28.0000,2.5500,28.0000,2.5500,28.0000,2.5500
0.0000,0.0417,4.1667,28.0000,2.5500,28.0000,2.5500,28.0000,2.5500
0.0000,0.0466,4.6569,28.0000,2.5500,28.0000,2.5500,28.0000,2.5500
0.0000,0.0515,5.1471,28.0000,2.5500,28.0000,2.5500,28.0000,2.5500
0.0000,0.0564,5.6373,28.0000,2.5500,28.0000,2.5500,28.0000,2.5500
0.0000,0.0613,6.1275,28.0000,2.5500,28.0000,2.5500,28.0000,2.5500
0.0000,0.0662,6.6176,28.0000,2.5500,28.0000,2.5500,28.0000,2.5500
0.0000,0.0711,7.1078,28.0000,2.5500,28.0000,2.5500,28.0000,2.5500
0.0000,0.0760,7.5980,28.0000,2.5500,28.0000,2.5500,28.0000,2.5500
0.0000,0.0809,8.0882,28.0000,2.5500,28.0000,2.5500,28.0000,2.5500
0.0000,0.0858,8.5784,28.0000,2.5500,28.0000,2.5500,28.0000,2.5500
0.0000,0.0907,9.0686,28.0000,2.5500,28.0000,2.5500,28.0000,2.5500
0.0000,0.0956,9.5588,28.0000,2.5500,28.0000,2.5500,28.0000,2.5500
0.0000,0.1005,10.0490,28.0000,2.5500,28.0000,2.5500,28.0000,2.5500
0.0000,0.1054,10.5392,28.0000,2.5500,28.0000,2.5500,28.0000,2.5500
0.0000,0.1103,11.0294,28.0000,2.5500,28.0000,2.5500,28.0000,2.5500
0.0000,0.1152,11.5196,28.0000,2.5500,28.0000,2.5500,28.0000,2.5500
0.0000,0.1201,12.0098,28.0000,2.5500,28.0000,2.5500,28.0000,2.5500
0.0000,0.1250,12.5000,28.0000,2.5500,28.0000,2.5500,28.0000,2.5500
0.0000,0.1299,12.9902,28.0000,2.5500,28.0000,2.5500,28.0000,2.5500
0.0000,0.1348,13.4804,28.0000,2.5500,28.0000,2.5500,28.0000,2.5500
0.0000,0.1397,13.9706,28.0000,2.5500,28.0000,2.5500,28.0000,2.5500
0.0000,0.1446,14.4608,28.0000,2.5500,28.0000,2.5500,28.0000,2.5500
0.0000,0.1495,14.9510,28.0000,2.5500,28.0000,2.5500,28.0000,2.5500
0.0000,0.1544,15.4412,28.0000,2.5500,28.0000,2.5500,28.0000,2.5500
