time_s,r_m,r_cm,T_2d_mid_C,C_2d_mid,T_1d_C,C_1d,dT_2d_minus_1d_C,dC_2d_minus_1d
0.0000,0.0000,0.0000,28.0000,2.5500,28.0000,2.5500,0.0000,0.0000
0.0000,0.0010,0.1000,28.0000,2.5500,28.0000,2.5500,0.0000,0.0000
0.0000,0.0020,0.2000,28.0000,2.5500,28.0000,2.5500,0.0000,0.0000
0.0000,0.0030,0.3000,28.0000,2.5500,28.0000,2.5500,0.0000,0.0000
0.0000,0.0040,0.4000,28.0000,2.5500,28.0000,2.5500,0.0000,0.0000
0.0000,0.0050,0.5000,28.0000,2.5500,28.0000,2.5500,0.0000,0.0000
0.0000,0.0060,0.6000,28.0000,2.5500,28.0000,2.5500,0.0000,0.0000
0.0000,0.0070,0.7000,28.0000,2.5500,28.0000,2.5500,0.0000,0.0000
0.0000,0.0080,0.8000,28.0000,2.5500,28.0000,2.5500,0.0000,0.0000
0.0000,0.0090,0.9000,28.0000,2.5500,28.0000,2.5500,0.0000,0.0000
0.0000,0.0100,1.0000,28.0000,2.5500,28.0000,2.5500,0.0000,0.0000
0.0000,0.0110,1.1000,28.0000,2.5500,28.0000,2.5500,0.0000,0.0000
0.0000,0.0120,1.2000,28.0000,2.5500,28.0000,2.5500,0.0000,0.0000
0.0000,0.0130,1.3000,28.0000,2.5500,28.0000,2.5500,0.0000,0.0000
0.0000,0.0140,1.4000,28.0000,2.5500,28.0000,2.5500,0.0000,0.0000
0.0000,0.0150,1.5000,28.0000,2.5500,28.0000,2.5500,0.0000,0.0000
0.0000,0.0160,1.6000,28.0000,2.5500,28.0000,2.5500,0.0000,0.0000
0.0000,0.0170,1.7000,28.0000,2.5500,28.0000,2.5500,0.0000,0.0000
0.0000,0.0180,1.8000,28.0000,2.5500,28.0000,2.5500,0.0000,0.0000
0.0000,0.0190,1.9000,28.0000,2.5500,28.0000,2.5500,0.0000,0.0000
0.0000,0.0200,2.0000,28.0000,2.5500,28.0000,2.5500,0.0000,0.0000
1800.0000,0.0000,0.0000,33.6487,2.5500,33.6487,2.5500,0.0000,-0.0000
1800.0000,0.0010,0.1000,33.6565,2.5500,33.6565,2.5500,0.0000,-0.0000
1800.0000,0.0020,0.2000,33.6798,2.5499,33.6798,2.5499,0.0000,-0.0000
1800.0000,0.0030,0.3000,33.7187,2.5499,33.7187,2.5499,0.0000,-0.0000
1800.0000,0.0040,0.4000,33.7732,2.5497,33.7732,2.5497,0.0000,-0.0000
1800.0000,0.0050,0.5000,33.8434,2.5495,33.8434,2.5495,0.0000,-0.0000
1800.0000,0.0060,0.6000,33.9292,2.5489,33.9292,2.5489,0.0000,-0.0000
1800.0000,0.0070,0.7000,34.0307,2.5479,34.0307,2.5479,0.0000,-0.0000
1800.0000,0.0080,0.8000,34.1479,2.5460,34.1479,2.5460,0.0000,-0.0000
1800.0000,0.0090,0.9000,34.2810,2.5425,34.2810,2.5425,0.0000,-0.0000
1800.0000,0.0100,1.0000,34.4301,2.5364,34.4301,2.5364,0.0000,0.0000
1800.0000,0.0110,1.1000,34.5953,2.5258,34.5953,2.5258,0.0000,-0.0000
1800.0000,0.0120,1.2000,34.7767,2.5082,34.7767,2.5082,0.0000,-0.0000
1800.0000,0.0130,1.3000,34.9743,2.4802,34.9743,2.4802,0.0000,-0.0000
1800.0000,0.0140,1.4000,35.1884,2.4373,35.1884,2.4373,0.0000,-0.0000
1800.0000,0.0150,1.5000,35.4190,2.3740,35.4190,2.3740,0.0000,0.0000
1800.0000,0.0160,1.6000,35.6665,2.2840,35.6665,2.2840,0.0000,0.0000
1800.0000,0.0170,1.7000,35.9309,2.1605,35.9309,2.1605,0.0000,-0.0000
1800.0000,0.0180,1.8000,36.2125,1.9966,36.2125,1.9966,0.0000,0.0000
1800.0000,0.0190,1.9000,36.5115,1.7847,36.5115,1.7847,0.0000,0.0000
1800.0000,0.0200,2.0000,36.8281,1.5163,36.7487,1.5887,0.0794,-0.0724
3600.0000,0.0000,0.0000,42.3119,2.5455,42.3118,2.5455,0.0001,-0.0000
3600.0000,0.0010,0.1000,42.3176,2.5451,42.3175,2.5451,0.0001,-0.0000
3600.0000,0.0020,0.2000,42.3346,2.5441,42.3345,2.5441,0.0001,-0.0000
3600.0000,0.0030,0.3000,42.3629,2.5420,42.3628,2.5420,0.0001,-0.0000
3600.0000,0.0040,0.4000,42.4024,2.5388,42.4023,2.5388,0.0001,-0.0000
3600.0000,0.0050,0.5000,42.4532,2.5339,42.4531,2.5339,0.0001,-0.0000
3600.0000,0.0060,0.6000,42.5150,2.5266,42.5149,2.5266,0.0001,-0.0000
3600.0000,0.0070,0.7000,42.5878,2.5162,42.5877,2.5162,0.0001,-0.0000
3600.0000,0.0080,0.8000,42.6714,2.5014,42.6713,2.5014,0.0001,-0.0000
3600.0000,0.0090,0.9000,42.7657,2.4809,42.7656,2.4809,0.0001,-0.0000
3600.0000,0.0100,1.0000,42.8705,2.4531,42.8704,2.4531,0.0001,0.0000
3600.0000,0.0110,1.1000,42.9857,2.4158,42.9856,2.4158,0.0001,0.0000
3600.0000,0.0120,1.2000,43.1111,2.3670,43.1111,2.3670,0.0001,0.0000
3600.0000,0.0130,1.3000,43.2465,2.3042,43.2464,2.3042,0.0001,-0.0000
3600.0000,0.0140,1.4000,43.3917,2.2249,43.3916,2.2249,0.0001,-0.0000
3600.0000,0.0150,1.5000,43.5465,2.1265,43.5465,2.1265,0.0001,-0.0000
3600.0000,0.0160,1.6000,43.7110,2.0062,43.7109,2.0062,0.0001,-0.0000
3600.0000,0.0170,1.7000,43.8850,1.8610,43.8849,1.8610,0.0001,0.0000
3600.0000,0.0180,1.8000,44.0686,1.6875,44.0686,1.6875,0.0001,-0.0000
3600.0000,0.0190,1.9000,44.2623,1.4802,44.2623,1.4802,0.0001,-0.0000
3600.0000,0.0200,2.0000,44.4665,1.2311,44.4153,1.2969,0.0512,-0.0658
