time_s,time_h,T_2d_center_C,C_2d_center,T_2d_mid_surface_C,C_2d_mid_surface,T_2d_end_center_surface_C,C_2d_end_center_surface,T_1d_center_C,C_1d_center,center_dT_C,center_dC,max_abs_mid_dT_C,max_abs_mid_dC
0.0000,0.0000,28.0000,2.5500,28.0000,2.5500,28.0000,2.5500,28.0000,2.5500,0.0000,0.0000,0.0000,0.0000
1800.0000,0.5000,33.6487,2.5500,36.8281,1.5163,37.3300,1.5156,33.6487,2.5500,0.0000,-0.0000,0.0000,0.0000
3600.0000,1.0000,42.3119,2.5455,44.4665,1.2311,45.1037,1.3166,42.3118,2.5455,0.0001,-0.0000,0.0001,0.0000
5400.0000,1.5000,47.0863,2.5184,47.9873,1.0513,48.3402,1.1684,47.0858,2.5184,0.0005,-0.0000,0.0005,0.0000
7200.0000,2.0000,49.0321,2.4604,49.3881,0.9202,49.5387,1.0443,49.0314,2.4604,0.0007,-0.0000,0.0007,0.0000
9000.0000,2.5000,49.6865,2.3786,49.8189,0.8176,49.8861,0.9359,49.6859,2.3786,0.0006,-0.0000,0.0006,0.0000
10800.0000,3.0000,49.9292,2.2834,50.0218,0.7338,50.0394,0.8404,49.9288,2.2834,0.0004,-0.0000,0.0004,0.0000
12600.0000,3.5000,49.9712,2.1827,49.9861,0.6633,49.9914,0.7566,49.9710,2.1827,0.0002,-0.0000,0.0002,0.0000
14400.0000,4.0000,50.0025,2.0818,50.0156,0.6028,50.0311,0.6828,50.0025,2.0818,0.0001,-0.0000,0.0001,0.0000
18000.0000,5.0000,50.1546,1.8900,50.1592,0.5036,50.1619,0.5613,50.1545,1.8900,0.0000,-0.0000,0.0000,0.0000
21600.0000,6.0000,50.1645,1.7189,50.1647,0.4255,50.1649,0.4673,50.1645,1.7189,0.0000,-0.0000,0.0000,0.0000
25200.0000,7.0000,50.1650,1.5702,50.1650,0.3630,50.1650,0.3940,50.1650,1.5702,0.0000,-0.0000,0.0000,0.0000
28800.0000,8.0000,50.1650,1.4421,50.1650,0.3126,50.1650,0.3363,50.1650,1.4421,0.0000,-0.0000,0.0000,0.0000
32400.0000,9.0000,50.1650,1.3319,50.1650,0.2720,50.1650,0.2905,50.1650,1.3319,0.0000,-0.0000,0.0000,0.0000
36000.0000,10.0000,50.1650,1.2371,50.1650,0.2392,50.1650,0.2538,50.1650,1.2371,0.0000,-0.0000,0.0000,0.0000
39600.0000,11.0000,50.1650,1.1552,50.1650,0.2126,50.1650,0.2243,50.1650,1.1552,0.0000,-0.0000,0.0000,0.0000
43200.0000,12.0000,50.1650,1.0842,50.1650,0.1910,50.1650,0.2002,50.1650,1.0842,-0.0000,-0.0000,0.0000,0.0000
46800.0000,13.0000,50.1650,1.0222,50.1650,0.1731,50.1650,0.1806,50.1650,1.0222,-0.0000,-0.0000,0.0000,0.0000
50400.0000,14.0000,50.1650,0.9678,50.1650,0.1584,50.1650,0.1643,50.1650,0.9678,-0.0000,-0.0000,0.0000,0.0000
54000.0000,15.0000,50.1650,0.9199,50.1650,0.1460,50.1650,0.1508,50.1650,0.9199,-0.0000,-0.0000,0.0000,0.0000
57600.0000,16.0000,50.1650,0.8774,50.1650,0.1355,50.1650,0.1395,50.1650,0.8774,-0.0000,-0.0000,0.0000,0.0000
61200.0000,17.0000,50.1650,0.8396,50.1650,0.1267,50.1650,0.1299,50.1650,0.8396,-0.0000,-0.0000,0.0000,0.0000
64800.0000,18.0000,50.1650,0.8056,50.1650,0.1191,50.1650,0.1217,50.1650,0.8056,-0.0000,-0.0000,0.0000,0.0000
68400.0000,19.0000,50.1650,0.7751,50.1650,0.1126,50.1650,0.1148,50.1650,0.7751,-0.0000,-0.0000,0.0000,0.0000
72000.0000,20.0000,50.1650,0.7475,50.1650,0.1069,50.1650,0.1088,50.1650,0.7475,-0.0000,-0.0000,0.0000,0.0000
75600.0000,21.0000,50.1650,0.7225,50.1650,0.1019,50.1650,0.1036,50.1650,0.7225,-0.0000,-0.0000,0.0000,0.0000
79200.0000,22.0000,50.1650,0.6996,50.1650,0.0976,50.1650,0.0990,50.1650,0.6996,-0.0000,-0.0000,0.0000,0.0000
82800.0000,23.0000,50.1650,0.6787,50.1650,0.0938,50.1650,0.0950,50.1650,0.6787,-0.0000,-0.0000,0.0000,0.0000
86400.0000,24.0000,50.1650,0.6595,50.1650,0.0904,50.1650,0.0915,50.1650,0.6595,-0.0000,-0.0000,0.0000,0.0000
90000.0000,25.0000,50.1650,0.6418,50.1650,0.0874,50.1650,0.0884,50.1650,0.6418,-0.0000,-0.0000,0.0000,0.0000
93600.0000,26.0000,50.1650,0.6255,50.1650,0.0848,50.1650,0.0856,50.1650,0.6255,-0.0000,-0.0000,0.0000,0.0000
97200.0000,27.0000,50.1650,0.6104,50.1650,0.0824,50.1650,0.0832,50.1650,0.6104,-0.0000,-0.0000,0.0000,0.0000
100800.0000,28.0000,50.1650,0.5963,50.1650,0.0802,50.1650,0.0809,50.1650,0.5963,-0.0000,-0.0000,0.0000,0.0000
104400.0000,29.0000,50.1650,0.5832,50.1650,0.0783,50.1650,0.0790,50.1650,0.5832,-0.0000,-0.0000,0.0000,0.0000
108000.0000,30.0000,50.1650,0.5710,50.1650,0.0765,50.1650,0.0772,50.1650,0.5710,-0.0000,-0.0000,0.0000,0.0000
111600.0000,31.0000,50.1650,0.5595,50.1650,0.0749,50.1650,0.0755,50.1650,0.5595,-0.0000,-0.0000,0.0000,0.0000
115200.0000,32.0000,50.1650,0.5487,50.1650,0.0734,50.1650,0.0740,50.1650,0.5487,-0.0000,-0.0000,0.0000,0.0000
118800.0000,33.0000,50.1650,0.5386,50.1650,0.0721,50.1650,0.0727,50.1650,0.5386,-0.0000,-0.0000,0.0000,0.0000
122400.0000,34.0000,50.1650,0.5291,50.1650,0.0709,50.1650,0.0714,50.1650,0.5291,-0.0000,-0.0000,0.0000,0.0000
126000.0000,35.0000,50.1650,0.5201,50.1650,0.0698,50.1650,0.0703,50.1650,0.5201,-0.0000,-0.0000,0.0000,0.0000
129600.0000,36.0000,50.1650,0.5116,50.1650,0.0687,50.1650,0.0693,50.1650,0.5116,-0.0000,-0.0000,0.0000,0.0000
133200.0000,37.0000,50.1650,0.5036,50.1650,0.0678,50.1650,0.0683,50.1650,0.5036,-0.0000,-0.0000,0.0000,0.0000
136800.0000,38.0000,50.1650,0.4960,50.1650,0.0669,50.1650,0.0674,50.1650,0.4960,-0.0000,-0.0000,0.0000,0.0000
140400.0000,39.0000,50.1650,0.4887,50.1650,0.0661,50.1650,0.0666,50.1650,0.4887,-0.0000,-0.0000,0.0000,0.0000
144000.0000,40.0000,50.1650,0.4818,50.1650,0.0654,50.1650,0.0658,50.1650,0.4818,-0.0000,-0.0000,0.0000,0.0000
147600.0000,41.0000,50.1650,0.4753,50.1650,0.0647,50.1650,0.0651,50.1650,0.4753,-0.0000,-0.0000,0.0000,0.0000
151200.0000,42.0000,50.1650,0.4690,50.1650,0.0640,50.1650,0.0645,50.1650,0.4690,-0.0000,-0.0000,0.0000,0.0000
154800.0000,43.0000,50.1650,0.4631,50.1650,0.0634,50.1650,0.0638,50.1650,0.4631,-0.0000,-0.0000,0.0000,0.0000
158400.0000,44.0000,50.1650,0.4574,50.1650,0.0628,50.1650,0.0633,50.1650,0.4574,-0.0000,-0.0000,0.0000,0.0000
162000.0000,45.0000,50.1650,0.4519,50.1650,0.0623,50.1650,0.0627,50.1650,0.4519,-0.0000,-0.0000,0.0000,0.0000
165600.0000,46.0000,50.1650,0.4467,50.1650,0.0618,50.1650,0.0622,50.1650,0.4467,-0.0000,-0.0000,0.0000,0.0000
169200.0000,47.0000,50.1650,0.4417,50.1650,0.0614,50.1650,0.0617,50.1650,0.4417,-0.0000,-0.0000,0.0000,0.0000
172800.0000,48.0000,50.1650,0.4368,50.1650,0.0609,50.1650,0.0613,50.1650,0.4368,-0.0000,-0.0000,0.0000,0.0000
176400.0000,49.0000,50.1650,0.4322,50.1650,0.0605,50.1650,0.0609,50.1650,0.4322,-0.0000,-0.0000,0.0000,0.0000
180000.0000,50.0000,50.1650,0.4278,50.1650,0.0601,50.1650,0.0605,50.1650,0.4278,-0.0000,-0.0000,0.0000,0.0000
183600.0000,51.0000,50.1650,0.4235,50.1650,0.0598,50.1650,0.0601,50.1650,0.4235,-0.0000,-0.0000,0.0000,0.0000
187200.0000,52.0000,50.1650,0.4194,50.1650,0.0594,50.1650,0.0598,50.1650,0.4194,-0.0000,-0.0000,0.0000,0.0000
190800.0000,53.0000,50.1650,0.4154,50.1650,0.0591,50.1650,0.0594,50.1650,0.4154,-0.0000,-0.0000,0.0000,0.0000
194400.0000,54.0000,50.1650,0.4116,50.1650,0.0588,50.1650,0.0591,50.1650,0.4116,-0.0000,-0.0000,0.0000,0.0000
198000.0000,55.0000,50.1650,0.4079,50.1650,0.0585,50.1650,0.0588,50.1650,0.4079,-0.0000,-0.0000,0.0000,0.0000
201600.0000,56.0000,50.1650,0.4043,50.1650,0.0582,50.1650,0.0585,50.1650,0.4043,-0.0000,-0.0000,0.0000,0.0000
205200.0000,57.0000,50.1650,0.4008,50.1650,0.0579,50.1650,0.0583,50.1650,0.4008,-0.0000,-0.0000,0.0000,0.0000
