时间_s,半径_cm,无潜热,有潜热,差值_有潜热减无潜热
1800.0000,0.0000,2.5499,2.5500,0.0001
1800.0000,0.5000,2.5489,2.5500,0.0011
1800.0000,1.0000,2.5255,2.5500,0.0245
1800.0000,1.5000,2.3257,2.5372,0.2115
1800.0000,2.0000,1.6487,0.9897,-0.6590
3600.0000,0.0000,2.5257,2.5500,0.0243
3600.0000,0.5000,2.4947,2.5500,0.0553
3600.0000,1.0000,2.3578,2.5493,0.1915
3600.0000,1.5000,2.0230,2.4387,0.4157
3600.0000,2.0000,1.4711,0.8811,-0.5901
5400.0000,0.0000,2.3860,2.5500,0.1640
5400.0000,0.5000,2.3256,2.5498,0.2243
5400.0000,1.0000,2.1344,2.5360,0.4015
5400.0000,1.5000,1.8020,2.2481,0.4460
5400.0000,2.0000,1.3476,0.8440,-0.5036
7200.0000,0.0000,2.1708,2.5498,0.3789
7200.0000,0.5000,2.1084,2.5465,0.4380
7200.0000,1.0000,1.9236,2.4850,0.5614
7200.0000,1.5000,1.6260,2.0536,0.4276
7200.0000,2.0000,1.2311,0.8062,-0.4249
9000.0000,0.0000,1.9567,2.5460,0.5893
9000.0000,0.5000,1.9006,2.5295,0.6289
9000.0000,1.0000,1.7360,2.3979,0.6619
9000.0000,1.5000,1.4720,1.8864,0.4144
9000.0000,2.0000,1.1167,0.7672,-0.3495
10800.0000,0.0000,1.7662,2.5288,0.7627
10800.0000,0.5000,1.7166,2.4899,0.7734
10800.0000,1.0000,1.5702,2.2912,0.7210
10800.0000,1.5000,1.3333,1.7448,0.4115
10800.0000,2.0000,1.0081,0.7315,-0.2766
