时间_s,半径_cm,无潜热,有潜热,差值_有潜热减无潜热
1800.0000,0.0000,32.1907,-6.4869,-38.6776
1800.0000,0.5000,32.3836,-6.6053,-38.9889
1800.0000,1.0000,32.9673,-6.8948,-39.8621
1800.0000,1.5000,33.9620,-7.1665,-41.1285
1800.0000,2.0000,35.4140,-7.1431,-42.5570
3600.0000,0.0000,40.3816,-2.3050,-42.6866
3600.0000,0.5000,40.5536,-2.1285,-42.6821
3600.0000,1.0000,41.0605,-1.6018,-42.6622
3600.0000,1.5000,41.8783,-0.7311,-42.6094
3600.0000,2.0000,42.9978,0.5437,-42.4540
5400.0000,0.0000,45.8461,4.1753,-41.6708
5400.0000,0.5000,45.9342,4.3020,-41.6322
5400.0000,1.0000,46.1924,4.6779,-41.5145
5400.0000,1.5000,46.6045,5.2929,-41.3116
5400.0000,2.0000,47.1396,6.1534,-40.9862
7200.0000,0.0000,48.4497,8.5241,-39.9256
7200.0000,0.5000,48.4875,8.6098,-39.8778
7200.0000,1.0000,48.5980,8.8642,-39.7337
7200.0000,1.5000,48.7731,9.2819,-39.4913
7200.0000,2.0000,49.0030,9.8732,-39.1297
9000.0000,0.0000,49.4666,11.5335,-37.9331
9000.0000,0.5000,49.4789,11.5954,-37.8835
9000.0000,1.0000,49.5133,11.7785,-37.7348
9000.0000,1.5000,49.5652,12.0782,-37.4871
9000.0000,2.0000,49.6610,12.5362,-37.1248
10800.0000,0.0000,49.8494,13.8987,-35.9507
10800.0000,0.5000,49.8553,13.9508,-35.9045
10800.0000,1.0000,49.8745,14.1084,-35.7661
10800.0000,1.5000,49.9101,14.3736,-35.5365
10800.0000,2.0000,49.9664,14.7594,-35.2070
