时间_s,表面温度_C,表面含水率,环境温度_C,蒸发质量通量_kg_m-2_s,潜热通量_W_m-2,对流通量_W_m-2,净热通量_W_m-2
0.0000,28.0000,2.5500,28.0000,0.0000,0.0000,0.0000,0.0000
1.0000,25.5769,2.5270,28.0088,0.0013,3129.2112,60.7974,-3068.4137
2.0000,24.3720,2.5113,28.0176,0.0013,3109.6091,91.1388,-3018.4703
3.0000,23.4871,2.4992,28.0264,0.0013,3094.4361,113.4816,-2980.9545
4.0000,22.7598,2.4890,28.0352,0.0013,3081.7218,131.8862,-2949.8356
5.0000,22.1304,2.4800,28.0440,0.0013,3070.5349,147.8388,-2922.6961
6.0000,21.5697,2.4719,28.0528,0.0013,3060.3883,162.0774,-2898.3110
7.0000,21.0604,2.4644,28.0616,0.0013,3051.0022,175.0308,-2875.9713
8.0000,20.5914,2.4573,28.0704,0.0013,3042.2020,186.9745,-2855.2275
9.0000,20.1553,2.4507,28.0792,0.0013,3033.8715,198.0975,-2835.7740
10.0000,19.7465,2.4443,28.0880,0.0013,3025.9287,208.5364,-2817.3923
11.0000,19.3611,2.4382,28.0968,0.0013,3018.3134,218.3936,-2799.9198
12.0000,18.9957,2.4324,28.1056,0.0013,3010.9795,227.7481,-2783.2314
13.0000,18.6479,2.4267,28.1144,0.0013,3003.8913,236.6626,-2767.2287
14.0000,18.3157,2.4212,28.1232,0.0012,2997.0199,245.1876,-2751.8323
15.0000,17.9974,2.4158,28.1320,0.0012,2990.3418,253.3647,-2736.9771
16.0000,17.6917,2.4106,28.1408,0.0012,2983.8376,261.2285,-2722.6091
17.0000,17.3973,2.4056,28.1496,0.0012,2977.4909,268.8082,-2708.6827
18.0000,17.1132,2.4006,28.1584,0.0012,2971.2880,276.1289,-2695.1591
19.0000,16.8387,2.3957,28.1672,0.0012,2965.2168,283.2118,-2682.0050
20.0000,16.5730,2.3910,28.1760,0.0012,2959.2671,290.0758,-2669.1913
21.0000,16.3153,2.3863,28.1848,0.0012,2953.4298,296.7370,-2656.6928
22.0000,16.0652,2.3817,28.1936,0.0012,2947.6972,303.2100,-2644.4872
23.0000,15.8221,2.3772,28.2024,0.0012,2942.0621,309.5074,-2632.5547
24.0000,15.5856,2.3728,28.2112,0.0012,2936.5184,315.6406,-2620.8778
25.0000,15.3552,2.3684,28.2200,0.0012,2931.0605,321.6198,-2609.4407
26.0000,15.1306,2.3641,28.2288,0.0012,2925.6835,327.4543,-2598.2292
27.0000,14.9115,2.3599,28.2376,0.0012,2920.3827,333.1521,-2587.2306
28.0000,14.6976,2.3557,28.2464,0.0012,2915.1542,338.7210,-2576.4332
