时间_s,中心基线,中心残留ALE,表面基线,表面残留ALE,中心差值,表面差值,材料平均含水率_基线,材料平均含水率_残留ALE
0.0000,2.5500,2.5500,2.5500,2.5500,0.0000,0.0000,2.5500,2.5500
60.0000,2.5500,2.5500,2.1461,2.1090,0.0000,-0.0372,2.5398,2.5377
120.0000,2.5500,2.5500,1.9689,1.9017,0.0000,-0.0671,2.5304,2.5255
180.0000,2.5500,2.5500,1.8521,1.7588,0.0000,-0.0933,2.5215,2.5134
240.0000,2.5500,2.5500,1.7636,1.6470,0.0000,-0.1166,2.5131,2.5013
300.0000,2.5500,2.5500,1.6928,1.5554,0.0000,-0.1374,2.5049,2.4893
360.0000,2.5500,2.5500,1.6336,1.4773,0.0000,-0.1563,2.4971,2.4774
420.0000,2.5500,2.5500,1.5828,1.4095,-0.0000,-0.1733,2.4895,2.4655
480.0000,2.5500,2.5500,1.5383,1.3494,-0.0000,-0.1889,2.4821,2.4538
540.0000,2.5500,2.5500,1.4992,1.2961,0.0000,-0.2031,2.4748,2.4421
600.0000,2.5500,2.5500,1.4644,1.2483,-0.0000,-0.2161,2.4677,2.4306
660.0000,2.5500,2.5500,1.4332,1.2053,0.0000,-0.2279,2.4608,2.4191
720.0000,2.5500,2.5500,1.4049,1.1661,0.0000,-0.2388,2.4540,2.4078
780.0000,2.5500,2.5500,1.3792,1.1304,0.0000,-0.2487,2.4473,2.3966
840.0000,2.5500,2.5500,1.3555,1.0976,0.0000,-0.2579,2.4407,2.3855
900.0000,2.5500,2.5500,1.3336,1.0674,-0.0000,-0.2662,2.4342,2.3745
960.0000,2.5500,2.5500,1.3135,1.0397,-0.0000,-0.2738,2.4278,2.3636
1020.0000,2.5500,2.5500,1.2947,1.0140,-0.0000,-0.2808,2.4214,2.3529
1080.0000,2.5500,2.5500,1.2777,0.9906,-0.0000,-0.2871,2.4152,2.3423
1140.0000,2.5500,2.5500,1.2617,0.9688,-0.0000,-0.2929,2.4090,2.3319
1200.0000,2.5500,2.5500,1.2468,0.9487,-0.0000,-0.2981,2.4029,2.3215
1260.0000,2.5500,2.5500,1.2327,0.9298,-0.0000,-0.3028,2.3968,2.3113
1320.0000,2.5500,2.5500,1.2197,0.9126,-0.0000,-0.3071,2.3908,2.3013
1380.0000,2.5500,2.5500,1.2075,0.8966,-0.0000,-0.3108,2.3848,2.2914
